,Name_Store,Address
298,Kirchberg-Stelz,"Wilerstrasse 204, 9533 Kirchberg SG"
299,Kloten,"Kirchgasse 5, 8302 Kloten"
300,Kollbrunn,"Tösstalstrasse 24, 8483 Kollbrunn"
301,Konolfingen,"Thunstrasse 17, 3510 Konolfingen"
302,Kreuzlingen,"Hauptstrasse 63, 8280 Kreuzlingen"
303,Kreuzlingen,"Romanshornerstr. 111, 8280 Kreuzlingen"
304,Kreuzlingen - Seepark,"Bleichestrasse 15, 8280 Kreuzlingen"
305,Kriens - Hofmatt,"Luzernerstrasse 30, 6010 Kriens"
306,Kriens - Mattenhof,"Am Mattenhof 2, 6010 Kriens"
307,Köniz - Bläuacker,"Bläuacker 10, 3098 Köniz"
308,Küsnacht ZH,"Zürichstrasse 149, 8700 Küsnacht ZH"
309,Küssnacht - Rigimärt,"Siegwartstrasse 11, 6403 Küssnacht am Rigi"
310,La Chaux-de-Fonds - Métropole Centre,"Rue Daniel-Jeanrichard 23, 2300 La Chaux-de-Fonds"
311,La Chaux-de-Fonds Les Eplatures,"Charles Naine 44, 2300 La Chaux-de-Fonds"
312,La Roche,"Haut de Scherwil 2, 1634 La Roche FR"
313,La Tour de Trême,"Route de Pra-Riond 2, 1635 La Tour-de-Trême"
314,La Tour-de-Peilz,"Place des Anciens-Fossés 10B, 1814 La Tour-de-Peilz"
315,La Vallée,"Rue de la Gare 7, 1347 Le Sentier"
316,Lachen,"Feldstrasse 6, 8853 Lachen SZ"
317,Lancy-Onex,"Rue des Bossons 78-80, 1213 Petit-Lancy"
318,Landquart,"Bahnhofstrasse 54, 7302 Landquart"
319,Langendorf - Ladedorf,"Fabrikstrasse 6, 4513 Langendorf"
320,Langenthal,"Wiesenstrasse 28, 4900 Langenthal"
321,Langenthal - MParc,"Murgenthalstrasse 17, 4900 Langenthal"
322,Langnau a. A.,"Hintere Grundstrasse 2, 8135 Langnau am Albis"
323,Langnau i.E.,"Schlossstrasse 1a, 3550 Langnau i. E."
324,Laufen - Birscenter,"Bahnhofstrasse 4, 4242 Laufen"
325,Lausanne - Bellevaux,"Route Aloys-Fauquez 97, 1018 Lausanne"
326,Lausanne - Bergières,"Avenue des Bergières 50, 1004 Lausanne"
327,Lausanne - Chailly,"Avenue de la Vallonnette 2, 1012 Lausanne"
328,Lausanne - Closelet,"Avenue d'Ouchy 11, 1006 Lausanne"
329,Lausanne - Cour,"Avenue de Cour 36, 1007 Lausanne"
330,Lausanne - La Borde,"Rue de la Borde 3B, 1018 Lausanne"
331,Lausanne - La Harpe,"Avenue de la Harpe 17, 1007 Lausanne"
332,Lausanne - La Sallaz,"Route de Berne 1, 1010 Lausanne"
333,Lausanne - Métropole,"Rue des Terreaux 25, 1003 Lausanne"
334,Lausanne - Pontaise,"Avenue Jomini 11, 1018 Lausanne"
335,Lausanne - Saint-Paul,"Avenue d'Echallens 63, 1004 Lausanne"
336,Lausanne - Sévelin,"Av. de Sévelin 2 Ab, 1007 Lausanne"
337,Lavaux,"Restoroute de Lavaux, 1091 Aran"
338,Le Bouveret,"En Bellossy, 1897 Bouveret"
339,Le Landeron,"Route de Neuchâtel 40, 2525 Le Landeron"
340,Le Locle,"Rue Bournot 35, 2400 Le Locle"
341,Lenzburg,"Bachstrasse 15, 5600 Lenzburg"
342,Leukerbad,"Kantonstrasse, 3954 Leukerbad"
343,Leysin,"Route de la Cité 16, 1854 Leysin"
344,Liestal,"Kasernenstrasse 8, 4410 Liestal"
345,Locarno - Mercato,"Via Stefano Franscini 31, 6600 Locarno"
346,Locarno - Solduno,"Via A. Franzoni 43, 6604 Locarno"
347,Lostorf,"Hauptstrasse 20, 4654 Lostorf"
348,Lugano - Cassarate-Lago,"Viale Castagnola, 6900 Lugano"
349,Lugano - Città,"Via Pretorio 15, 6900 Lugano"
350,Lugano - Molino Nuovo,"Via Monte Boglia 5, 6900 Lugano"
351,Lugano - Paradiso,"Via Geretta, 6902 Lugano 2 Paradiso Caselle"
352,Lupfig,"Flachsacherstrasse 17, 5242 Lupfig"
353,Lutry – La Conversion,"Route de la Conversion 314, 1093 La Conversion"
354,Luzern - Allmend,"Zihlmattweg 46, 6005 Luzern"
355,Luzern - Bruchstrasse,"Bruchstrasse 18, 6003 Luzern"
356,Luzern - Brüelstrasse,"Kreuzbuchstrasse 53, 6006 Luzern"
357,Luzern - Grossmatte,"Luzernerstrasse 143, 6014 Luzern"
358,Luzern - Schlossberg,"Friedentalstrasse 6, 6004 Luzern"
359,Luzern - Schweizerhof,"Hertensteinstrasse 9, 6004 Luzern"
360,Luzern - Schönbühl,"Langensandstr. 23, 6005 Luzern"
361,Luzern - Waldstätter,"Winkelriedstrasse 58, 6003 Luzern"
362,Luzern - Würzenbachstrasse,"Würzenbachstrasse 19, 6006 Luzern"
363,Lyss Lyssbachpark,"Steinweg 28, 3250 Lyss"
364,M Boudry,"Avenue du Collège 37, 2017 Boudry"
365,MP La Sarraz,"Chemin des Prés-Morés 2, 1315 La Sarraz"
366,Maggia,"Via Cantonale, 6673 Maggia"
367,Malters,"Weihermatte 7a/7b, 6102 Malters"
368,Marin-Centre,"Rue Fleur-de-Lys 26, 2074 Marin-Epagnier"
369,Marly - Centre,"Route des Pralettes 1, 1723 Marly"
370,Martigny - Manoir,"Rue du Manoir 1, 1920 Martigny"
371,Martigny Quartz Center,"Avenue de Fully 63, 1920 Martigny"
372,Massagno - Radio,"Via Besso 74, 6900 Massagno"
373,Matten,"Aegertiweg 33, 3812 Wilderswil"
374,Matzingen,"Frauenfelderstrasse 95, 9548 Matzingen"
375,Meilen,"Rosengartenstrasse 10, 8706 Meilen"
376,Meiringen,"Bahnhofstrasse 1, 3860 Meiringen"
377,Melano,"Via Cantonale, 6818 Melano"
378,Mellingen,"Lenzburgerstrasse 50, 5507 Mellingen"
379,Mels - Pizolpark,"Einkaufszentrum, 8879 Pizolpark (Mels)"
380,Mendrisio,"Via L. Lavizzari 2, Piazza alla Valle, 6850 Mendrisio"
381,Mendrisio Sud,"Via Campagna Adorna, 6850 Mendrisio"
382,Menziken,"Sagiweg 8, 5737 Menziken"
383,Meyrin,"Avenue de Feuillasse 24, 1217 Meyrin"
384,Migros Bridge,"Eisgasse 20, 8004 Zürich"
385,Migros Réception Ecublens,"Ch du Devent, 1024 Ecublens"
386,Minusio - Centro Borenco,"Via S.Gottardo 56, 6648 Minusio"
